@relation ngasmodified-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute Price numeric
@attribute year numeric
@attribute month numeric
@attribute day numeric

@data
4.55,2000,8,25
7.79,2005,7,12
2.66,2015,2,6
10.94,2008,5,20
3.99,2010,12,17
3.14,2013,1,29
6.7,2004,5,26
3.01,2018,8,23
4.18,2011,9,1
2.49,1999,10,4
1.89,2020,1,22
2.8,2015,6,25
6.54,2007,9,25
7.14,2004,12,20
4.55,2011,2,2
5.31,2001,3,29
2.45,1997,8,13
1.76,2020,3,22
3.15,1997,11,4
2.93,2017,2,13
2.19,2001,11,29
4.9,2003,4,1
10.03,2001,1,5
3.8,2009,6,24
2.96,2016,11,28
4.01,2010,3,19
3,2019,1,30
5.48,2010,2,10
2.23,1997,5,5
3.99,2014,9,18
2.28,1998,2,26
3.26,2018,11,2
2.76,2000,3,23
3.46,2012,11,30
4.01,2013,5,16
2.33,1998,11,11
6.25,2003,3,11
3.69,2013,10,25
5.84,2007,8,22
2.61,2012,1,25
1.68,2020,6,9
5.16,2000,10,10
2.18,1999,12,2
8.42,2003,2,27
3.69,2013,11,13
4.07,2010,4,23
3.21,2015,2,25
5.95,2006,6,13
2.29,2019,10,8
2.42,1997,2,10
2.74,2018,4,11
2.34,1997,5,28
4.67,2014,6,9
6.76,2008,11,20
3.98,2011,8,17
6.3,2004,6,23
6.28,2004,6,25
2.2,1997,6,16
4.22,2010,5,27
3.1,1999,8,25
7.98,2008,8,22
1.97,2016,4,12
8.27,2006,1,24
4.6,2009,2,13
3.34,2009,8,13
2.75,2018,5,9
2.11,1998,5,21
2.69,2015,9,18
2.45,1999,9,23
3.06,2001,10,26
2.8,2018,3,7
3.92,2002,11,6
3.02,2016,10,7
9.36,2008,3,28
2.83,2012,7,12
2.72,2016,10,27
2.39,2002,1,8
3.37,2009,9,22
2.42,1999,12,23
4.6,2011,5,3
8.15,2008,8,14
8.19,2006,1,27
5.09,2009,1,16
4.49,2014,4,4
2.28,2019,12,13
6.66,2007,10,29
6.88,2004,11,2
3.58,2013,8,29
3.75,2016,12,6
3.27,2015,3,5
4.42,2011,1,31
2.65,2009,11,16
2.72,2019,3,25
2.06,2012,4,4
6.94,2008,11,5
3.04,2016,9,12
6.33,2005,5,25
6.15,2004,6,4
3.42,2014,12,5
4.72,2010,7,27
2.36,1998,6,29
5.22,2003,7,1
11.02,2005,11,23
2.35,2015,10,7
3.59,2009,11,11
1.73,1999,3,19
4.86,2003,7,24
3.92,2011,9,27
6.18,2004,5,19
4.19,2010,8,20
4.81,2010,7,30
3.75,2013,10,17
5.16,2001,3,21
2.69,2018,3,14
2.14,1998,6,18
3.99,2009,3,20
5.7,2004,4,6
5.71,2008,12,30
6.81,2007,3,20
4.56,2010,3,5
12.18,2005,10,31
6.83,2004,12,21
2.97,2012,1,3
3.3,2018,10,17
1.79,2020,3,1
6.04,2006,6,28
1.44,1998,12,7
5.48,2001,4,16
6.32,2003,12,22
1.7,2020,5,29
4.19,2009,6,18
2.38,2001,9,10
4.99,2006,9,19
6.51,2004,5,27
6.03,2004,6,30
6.15,2007,1,9
2.58,2018,2,13
2.11,1997,6,3
2.63,2017,2,23
4.46,2003,11,19
3.63,2009,3,30
2.33,2012,6,7
7.71,2007,4,30
3.87,2014,10,9
3.48,2013,9,30
2.08,1997,4,17
4.15,2014,1,9
3.03,2017,2,7
5.34,2000,11,9
8.15,2014,2,10
4.1,2009,5,14
5.81,2004,4,27
3.8,2009,6,15
2.2,1998,2,23
3.2,2001,6,28
3.2,2002,6,28
2.63,1997,11,24
5.04,2009,2,3
2.86,2018,7,13
2.8,2012,8,22
7.08,2005,3,16
3.66,2013,7,18
3.04,2018,8,20
3.07,2019,1,25
4,2014,10,2
6.91,2007,10,19
2.95,2015,1,22
8.7,2008,8,6
2.25,1999,6,28
3.11,2017,4,19
3.11,2002,6,7
3.8,2010,9,28
6.81,2007,3,12
5.95,2004,7,1
2.39,2012,6,5
1.76,1998,8,27
6.48,2004,5,24
2.95,1999,8,23
3.9,2014,9,23
2.76,2016,7,20
4.31,2011,6,23
12.36,2005,8,30
2.04,2020,2,18
6.42,2004,6,21
3.72,2014,12,17
2.86,1997,1,30
3.57,2013,10,29
7.61,2006,8,3
3.09,2017,4,17
1.79,2020,7,16
4,2013,4,3
3.69,2014,10,20
1.7,1998,10,28
3.49,2011,10,6
7.57,2005,4,1
3.6,2018,1,30
2.41,2012,6,6
2.2,1998,6,2
1.73,1999,2,24
2.08,2016,11,10
6,2007,7,23
2.19,2015,12,2
4.09,2011,8,10
2.57,2019,9,26
4.1,2002,10,16
2.91,2018,9,14
6.82,2006,12,15
11.17,2005,11,29
7.53,2007,11,26
7.09,2005,6,10
1.87,1997,3,21
2.89,2016,7,4
2.65,2000,2,16
3.29,2009,7,14
8.12,2014,2,5
5.57,2004,4,19
3.87,2009,3,12
6.4,2006,8,30
1.83,2016,5,19
2.98,2017,10,25
5.7,2006,7,5
3.87,2014,10,13
4.39,2010,7,14
5.24,2000,10,2
5.32,2001,4,12
4.21,2011,5,16
2.58,2018,3,23
2.82,2016,8,24
2.63,2015,6,2
2.67,2015,9,4
3.08,2015,1,7
3.1,2017,5,29
2.4,2012,2,3
2.81,2018,4,6
4.82,2000,10,23
2.89,2018,5,23
2.16,1997,6,11
5.89,2009,1,7
2.79,2015,3,2
4.48,2000,8,9
5.96,2003,5,16
7.6,2006,8,9
4.67,2014,6,10
2.55,1999,7,27
5.53,2009,12,15
3.45,2002,5,16
2.16,1999,11,19
3.38,2012,10,26
1.82,1998,8,7
1.92,1997,2,20
